strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
T6,97,/measure,-581.7231146780659,-759.0329336807873,18,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
T6,98,/measure,-593.7008865060116,-754.9961969188824,5,direction,E11:joint_safe_supplement,2.527941942745062,5.0,1.0,0.0,0.0,8.527941942745063
T6,99,/measure,-592.2443132911129,-803.0626444194183,2,direction,E11:joint_route_transit,9.617702388516987,5.0,1.0,0.0,0.0,15.617702388516987
T6,100,/measure,-592.2443132911129,-803.0626444194183,5,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
T6,101,/clear,-576.2220079272273,-1331.7935669253138,7,success,E11_clear,105.79472627368698,0.0,0.0,5.0,0.0,110.79472627368698
T6,102,/measure,-701.7280021765032,-719.446183506017,20,no_signal,E11:discovery,125.01537066664382,5.0,1.0,0.0,0.0,131.01537066664383
T6,103,/measure,-701.7280021765032,-719.446183506017,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,104,/measure,-701.7280021765032,-719.446183506017,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,105,/measure,-701.7280021765032,-719.446183506017,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,106,/measure,-701.7280021765032,-719.446183506017,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,107,/measure,-701.7280021765032,-719.446183506017,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,108,/measure,-701.7280021765032,-719.446183506017,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,109,/clear,-643.5775976559952,-554.6227292496604,18,success,E11_clear,34.95610997745371,0.0,0.0,5.0,0.0,39.95610997745371
T6,110,/clear,-878.321052437796,-516.9339529462317,2,success,E11_clear,47.54994570854744,0.0,0.0,5.0,0.0,52.54994570854744
T6,111,/measure,-1000.0059292422284,100.06568582879582,8,no_signal,E11:discovery,125.77690781561205,5.0,0.0,0.0,0.0,130.77690781561205
T6,112,/measure,-1000.0059292422284,100.06568582879582,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,113,/measure,-1000.0059292422284,100.06568582879582,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,114,/measure,-1000.0059292422284,100.06568582879582,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,115,/measure,-1000.0059292422284,100.06568582879582,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,116,/measure,-1000.0059292422284,100.06568582879582,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,117,/measure,-1000.0059292422284,100.06568582879582,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,118,/clear,-80.98785219260239,-19.1398875802191,5,success,E11_clear,185.34337805012234,0.0,0.0,5.0,0.0,190.34337805012234
T6,119,/measure,-127.41496649185096,67.19670645445537,16,direction,E11:joint_route_transit,19.605595539706187,5.0,1.0,0.0,0.0,25.605595539706187
T6,120,/measure,-537.5211428018799,829.836620427413,16,direction,E11:joint_route_transit,173.18276060073794,5.0,0.0,0.0,0.0,178.18276060073794
T6,121,/measure,-545.2589951850881,844.2260527665254,20,no_signal,E11:discovery,3.2675992566177094,5.0,1.0,0.0,0.0,9.267599256617709
T6,122,/measure,-545.2589951850881,844.2260527665254,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,123,/measure,-545.2589951850881,844.2260527665254,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,124,/measure,-545.2589951850881,844.2260527665254,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,125,/measure,-545.2589951850881,844.2260527665254,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,126,/measure,-545.2589951850881,844.2260527665254,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,127,/measure,-545.2589951850881,844.2260527665254,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,128,/clear,517.9519424503633,1332.2140126534114,16,no_target_in_range,E11_clear,233.97006192265036,0.0,0.0,0.0,3.0,236.97006192265036
T6,129,/measure,517.9519424503633,1332.2140126534114,16,direction,E11:mec_center_recovery,0.0,5.0,1.0,0.0,0.0,6.0
T6,130,/clear,508.8991765148161,1298.4050282126418,16,success,E11_clear,7.000000000000005,0.0,0.0,5.0,0.0,12.000000000000005
