dimension,value,strategy,pairs,qualified_pairs,win_rate,tie_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,mean_delta_movement_m,mean_delta_measurements,mean_delta_switches,mean_delta_clear_failures,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E12_runs,E12_sources,E12_all_cleared,E12_qualified,E12_failed_runs,E12_performance_population,E12_performance_runs,E12_weighted_time_per_source_s,E12_mean_time_per_source_s,E12_median,E12_P90,E12_P95,E12_P99,E12_max,E12_CVaR95,E12_tail_count,E12_mean_movement_m,E12_mean_measurements,E12_mean_switches,E12_mean_clear_failures
N,16,T6,28,28,0.39285714285714285,0.17857142857142858,0.0,15.573043062499973,21.634492312499987,27182826,-374.71647849371055,5.321428571428571,3.7857142857142856,0.6428571428571429,28,448,True,True,0,qualified_runs_only,28,221.3086961919643,221.3086961919643,225.06192015624998,241.54551603125,243.10571682187498,252.90076716500002,256.2743508125,250.0269736875,2,14085.05283833495,108.71428571428571,95.96428571428571,1.4642857142857142,28,448,True,True,0,qualified_runs_only,28,218.64482950223214,218.64482950223214,224.67368181249998,243.85715525,249.045413290625,255.86403282499998,258.0189794375,254.02833756249998,2,13710.33635984124,114.03571428571429,99.75,2.107142857142857
k0,1,T2,1,1,0.0,1.0,0.0,0.0,0.0,27182891,0.0,0,0,0,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0,1,11,True,True,0,qualified_runs_only,1,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,345.7918191818182,1,15318.550053464784,115,110,0
k0,2,T2,3,3,0.6666666666666666,0.0,-1.9029403076923472,38.9129553792308,43.448054900000045,27182848,-709.0186128027968,18.333333333333332,17,0.3333333333333333,3,33,True,True,0,qualified_runs_only,3,316.27916436363637,318.4445151230769,294.73800489999996,351.72350794,358.84669582,364.54524612399996,365.96988369999997,365.96988369999997,1,13457.02070628635,123,112.66666666666667,1.6666666666666667,3,33,True,True,0,qualified_runs_only,3,313.35761381818185,315.42110355384614,315.35453440000003,333.61975472,335.90290726,337.729429292,338.1860598,338.1860598,1,12748.002093483554,141.33333333333334,129.66666666666666,2
k0,3,T2,11,11,0.45454545454545453,0.0,1.843255357142823,21.437398416666625,27.821868166666633,27182983,-119.70075405128195,10.454545454545455,8.545454545454545,-0.6363636363636364,11,128,True,True,0,qualified_runs_only,11,300.1101364921875,303.330162915427,312.720376,339.97303320000003,345.52912360000005,349.97399592,351.085214,351.085214,1,13456.862487077524,124.72727272727273,114.63636363636364,1.4545454545454546,11,128,True,True,0,qualified_runs_only,11,303.115279796875,305.61091551001573,314.13108109999996,329.7278452,333.44179135,336.41294827,337.1557375,337.1557375,1,13337.161733026242,135.1818181818182,123.18181818181819,0.8181818181818182
k0,4,T2,22,22,0.7272727272727273,0.0,-9.926360000000045,24.170685625000008,32.91579892307692,27182914,-706.7152726861925,10.045454545454545,7.818181818181818,0.13636363636363635,22,273,True,True,0,qualified_runs_only,22,291.3033005604396,295.8372401875089,305.6124771363636,327.9606174163637,336.9914577809091,350.699389994,354.2189918,345.83898750000003,2,14148.818421638742,121.68181818181819,111.18181818181819,1.1363636363636365,22,273,True,True,0,qualified_runs_only,22,284.6236404908425,288.6711429407333,294.91520176923075,334.00981291818186,339.30890793,340.936051539,341.3186535,340.40769645,2,13442.10314895255,131.72727272727272,119,1.2727272727272727
k0,5,T2,42,42,0.4523809523809524,0.0,3.00039756547622,36.68863028181816,46.56581058333336,27182920,-223.02347156491604,13.214285714285714,12.5,-0.21428571428571427,42,518,True,True,0,qualified_runs_only,42,282.3280906756757,285.8222107564273,285.34461650000003,323.32049935,337.12560302,352.6845373975,358.460638,346.68557005,3,13594.041782326232,117.80952380952381,107.45238095238095,1.6904761904761905,42,518,True,True,0,qualified_runs_only,42,285.03002666409265,288.4915769398523,291.6329785944056,333.5008044933333,339.5651522445454,348.007492777909,352.86266627272727,344.5126402030303,3,13371.018310761316,131.02380952380952,119.95238095238095,1.4761904761904763
k0,6,T2,29,29,0.4827586206896552,0.0,1.010180062499984,27.16779852564101,29.171920399999976,27182937,-384.72026140469603,10.827586206896552,9.379310344827585,-0.3448275862068966,29,379,True,True,0,qualified_runs_only,29,265.87045550659633,269.3855176934949,267.37454206666666,314.1273012121212,321.5954814727273,322.97684569818176,323.16934299999997,322.8255978181818,2,13571.017695852112,116.75862068965517,105.82758620689656,1.8275862068965518,29,379,True,True,0,qualified_runs_only,29,264.76391852506595,268.2829166817181,266.4482116153846,301.47439692,317.84808384999997,326.78862719666665,328.48456649999997,325.4561034583333,2,13186.297434447415,127.58620689655173,115.20689655172414,1.4827586206896552
k0,7,T2,31,31,0.4838709677419355,0.0,1.7446286249999616,29.95873444642858,36.66574692307694,27182949,-317.72752643948814,10.129032258064516,9.129032258064516,0.06451612903225806,31,410,True,True,0,qualified_runs_only,31,257.62824998536587,261.35564454628206,261.33006890909087,295.2311232,323.12676135,325.46489583,326.2848348,324.91826985,2,13270.255240827588,115.90322580645162,104.16129032258064,1.1612903225806452,31,410,True,True,0,qualified_runs_only,31,257.35773616341464,260.81127520709435,255.2230964285714,299.97562527272726,310.93079975,326.5946947,328.7334325,325.1688695,2,12952.5277143881,126.03225806451613,113.29032258064517,1.2258064516129032
k0,8,T2,26,26,0.6153846153846154,0.0,-3.428058112499997,19.216281658974374,34.52107527272727,27182919,-592.4788755604889,12.26923076923077,11.038461538461538,-0.3076923076923077,26,345,True,True,0,qualified_runs_only,26,250.205348742029,251.86620115014983,250.88443302727273,270.57905093506497,285.4601643107143,292.01011005,292.6027785,291.41744159999996,2,12900.739484126327,113.03846153846153,102.46153846153847,1.9615384615384615,26,345,True,True,0,qualified_runs_only,26,246.66073960869568,248.7766124035647,243.7415214238095,280.70344251153847,288.9148053807693,300.79963105,304.534834,297.0644281,2,12308.260608565837,125.3076923076923,113.5,1.6538461538461537
k0,9,T2,18,18,0.4444444444444444,0.0,3.48220208333332,18.429611428333324,19.38678280000002,27182846,-486.5220921491227,11.666666666666666,9.166666666666666,0.2222222222222222,18,249,True,True,0,qualified_runs_only,18,235.69665795180723,236.97185429618298,234.84211970833334,259.23738702,266.6106797073077,272.5066732337692,273.9806716153846,273.9806716153846,1,12637.629952429865,111.77777777777777,101.38888888888889,1.1666666666666667,18,249,True,True,0,qualified_runs_only,18,233.5903144497992,235.5963596039412,238.98707325,260.24930638181814,263.66289891181816,274.17285034236363,276.8003382,276.8003382,1,12151.107860280743,123.44444444444444,110.55555555555556,1.3888888888888888
